loading workload and aet access finished in 8.993 s
tot_mem: 549755813888, granularity: 256
end calc
calculate MRC finished in 881.902 s
0, 1.000
1, 1.000
3, 1.000
7, 1.000
15, 1.000
31, 0.925
63, 0.917
127, 0.911
255, 0.904
511, 0.892
1023, 0.880
2047, 0.867
4095, 0.847
8191, 0.830
16383, 0.822
32767, 0.810
65535, 0.773
131071, 0.714
262143, 0.685
524287, 0.645
1048575, 0.527
2097151, 0.338
4194303, 0.084
8388607, 0.084
16777215, 0.084
33554431, 0.084
67108863, 0.084
134217727, 0.084
268435455, 0.084
536870911, 0.084
1073741823, 0.084
2147483647, 0.084
